类别：游戏

周,销售收入: (日本)
2015-02-08,36
2015-02-15,26
2015-02-22,39
2015-03-01,44
2015-03-08,35
2015-03-15,39
2015-03-22,37
2015-03-29,35
2015-04-05,31
2015-04-12,32
2015-04-19,30
2015-04-26,31
2015-05-03,46
2015-05-10,31
2015-05-17,40
2015-05-24,38
2015-05-31,49
2015-06-07,38
2015-06-14,43
2015-06-21,45
2015-06-28,42
2015-07-05,34
2015-07-12,34
2015-07-19,28
2015-07-26,39
2015-08-02,32
2015-08-09,22
2015-08-16,34
2015-08-23,25
2015-08-30,36
2015-09-06,41
2015-09-13,41
2015-09-20,38
2015-09-27,49
2015-10-04,45
2015-10-11,33
2015-10-18,36
2015-10-25,37
2015-11-01,31
2015-11-08,41
2015-11-15,38
2015-11-22,40
2015-11-29,50
2015-12-06,36
2015-12-13,39
2015-12-20,55
2015-12-27,59
2016-01-03,47
2016-01-10,29
2016-01-17,41
2016-01-24,38
2016-01-31,43
2016-02-07,45
2016-02-14,39
2016-02-21,45
2016-02-28,35
2016-03-06,37
2016-03-13,40
2016-03-20,42
2016-03-27,45
2016-04-03,38
2016-04-10,37
2016-04-17,30
2016-04-24,27
2016-05-01,37
2016-05-08,38
2016-05-15,42
2016-05-22,40
2016-05-29,36
2016-06-05,35
2016-06-12,37
2016-06-19,37
2016-06-26,32
2016-07-03,37
2016-07-10,33
2016-07-17,53
2016-07-24,42
2016-07-31,46
2016-08-07,35
2016-08-14,33
2016-08-21,29
2016-08-28,38
2016-09-04,34
2016-09-11,42
2016-09-18,36
2016-09-25,34
2016-10-02,38
2016-10-09,39
2016-10-16,37
2016-10-23,38
2016-10-30,34
2016-11-06,30
2016-11-13,40
2016-11-20,43
2016-11-27,58
2016-12-04,87
2016-12-11,56
2016-12-18,54
2016-12-25,62
2017-01-01,42
2017-01-08,42
2017-01-15,43
2017-01-22,38
2017-01-29,46
2017-02-05,40
2017-02-12,43
2017-02-19,41
2017-02-26,44
2017-03-05,50
2017-03-12,38
2017-03-19,54
2017-03-26,44
2017-04-02,43
2017-04-09,49
2017-04-16,38
2017-04-23,39
2017-04-30,46
2017-05-07,42
2017-05-14,41
2017-05-21,40
2017-05-28,41
2017-06-04,43
2017-06-11,39
2017-06-18,36
2017-06-25,37
2017-07-02,30
2017-07-09,38
2017-07-16,39
2017-07-23,50
2017-07-30,83
2017-08-06,63
2017-08-13,48
2017-08-20,48
2017-08-27,54
2017-09-03,38
2017-09-10,37
2017-09-17,39
2017-09-24,46
2017-10-01,36
2017-10-08,39
2017-10-15,38
2017-10-22,43
2017-10-29,44
2017-11-05,44
2017-11-12,38
2017-11-19,44
2017-11-26,43
2017-12-03,48
2017-12-10,47
2017-12-17,51
2017-12-24,60
2017-12-31,43
2018-01-07,49
2018-01-14,43
2018-01-21,54
2018-01-28,100
2018-02-04,53
2018-02-11,48
2018-02-18,47
2018-02-25,43
2018-03-04,38
2018-03-11,41
2018-03-18,36
2018-03-25,40
2018-04-01,40
2018-04-08,40
2018-04-15,46
2018-04-22,44
2018-04-29,28
2018-05-06,34
2018-05-13,42
2018-05-20,39
2018-05-27,33
2018-06-03,37
2018-06-10,37
2018-06-17,31
2018-06-24,34
2018-07-01,33
2018-07-08,37
2018-07-15,30
2018-07-22,31
2018-07-29,35
2018-08-05,37
2018-08-12,38
2018-08-19,34
2018-08-26,30
2018-09-02,32
2018-09-09,37
2018-09-16,38
2018-09-23,38
2018-09-30,31
2018-10-07,36
2018-10-14,38
2018-10-21,41
2018-10-28,34
2018-11-04,37
2018-11-11,38
2018-11-18,42
2018-11-25,37
2018-12-02,39
2018-12-09,42
2018-12-16,44
2018-12-23,58
2018-12-30,47
2019-01-06,54
2019-01-13,43
2019-01-20,47
2019-01-27,66
2019-02-03,48
2019-02-10,50
2019-02-17,49
2019-02-24,43
2019-03-03,37
2019-03-10,44
2019-03-17,40
2019-03-24,40
2019-03-31,43
2019-04-07,34
2019-04-14,38
2019-04-21,31
2019-04-28,29
2019-05-05,42
2019-05-12,39
2019-05-19,33
2019-05-26,34
2019-06-02,34
2019-06-09,35
2019-06-16,37
2019-06-23,33
2019-06-30,31
2019-07-07,34
2019-07-14,41
2019-07-21,29
2019-07-28,36
2019-08-04,32
2019-08-11,28
2019-08-18,37
2019-08-25,36
2019-09-01,41
2019-09-08,38
2019-09-15,44
2019-09-22,44
2019-09-29,50
2019-10-06,46
2019-10-13,38
2019-10-20,33
2019-10-27,50
2019-11-03,46
2019-11-10,46
2019-11-17,56
2019-11-24,61
2019-12-01,60
2019-12-08,52
2019-12-15,64
2019-12-22,73
2019-12-29,55
2020-01-05,43
2020-01-12,53
2020-01-19,51
2020-01-26,58
2020-02-02,66
